job_title,company,first_seen,search_country,search_position,job_level,job_type,city,state,country,city_state,latitude,longitude,job_skills
Host Person- Steady Extra- (Caesars Palace LV),"Caesars Entertainment, Inc.",2024-01-12,United States,Change Person,Mid senior,Onsite,Las Vegas,NV,United States,"Las Vegas, NV",36.233499,-115.264037,"Food and beverage knowledge, Basic math skills, Office equipment operation, Table Management system operation, English language proficiency, Effective communication skills, Teamwork skills, Knowledge of company policies and procedures, High school education or equivalent, Food Safety Team Member Training, Training for Intervention Procedures (TIPS), Prolonged standing and sitting, Eyehand coordination, Letter symbol and color distinction, Normal vision and hearing, Work in a small area, Tolerance for varying noise temperature illumination and air quality"
Business Advisor,"Chicanos Por La Causa, Inc. (CPLC)",2024-01-12,United States,Change Person,Mid senior,Onsite,Las Vegas,NV,United States,"Las Vegas, NV",36.233499,-115.264037,"Business Planning, Strategy, Marketing, Digital Media, Startups, Human Resources, Website Development, Sales, Financial Literacy, Coaching, Staffing, Bookkeeping, Budget Analysis, Forecasting, Cost Management, Financial DecisionMaking, Market Research, Growth Strategies, Operational Efficiency, Technology Adoption, Innovation, Industry Trends, Best Practices, Problem Solving, Networking, Confidentiality, Communication, Documentation, Microsoft Office, Criminal Background Check, Driver's License, Ability to travel, Occasional evening and weekend hours, Continuous Learning, Physical Demands, Working Conditions, Disability Accommodations"
Director of Nursing (DON) - Hospice,St. Gabriel's Hospice & Palliative Care,2024-01-13,United States,Director Nursing Service,Mid senior,Onsite,Oklahoma City,OK,United States,"Oklahoma City, OK",35.467079,-97.513657,"Nursing, CPR certification, interpersonal skills, Decision making, communication, Clinical department management, Quality assurance, Patient care, Palliative care, Hospice, Leadership, Supervision, Team management, Regulatory compliance, Infection control, Ethics, Continuing education, Problem solving, Data analysis, Collaboration, Interdisciplinary teamwork, Patient assessment, Plan of care, Fiscal intermediary compliance, Professional development, Conflict resolution, Critical thinking, Documentation, Communication with families"
Financial Aid Counselor - 2 positions available,OSU-OKC,2024-01-12,United States,Change Person,Associate,Onsite,Oklahoma City,OK,United States,"Oklahoma City, OK",35.467079,-97.513657,"Data processing, Financial Aid systems, Microsoft Office Suite, Ellucian Banner software, Technical writing, Communication, Customer service, Teamwork, Problemsolving, Analytical skills, Critical thinking, Federal regulations, Data analysis, Budgeting, Project management, Reconciliation, Documentation, Excel, Access, PowerPoint, Outlook"
Sales Associate III Fashion Show,Coach,2024-01-12,United States,Circulation-Sales Representative,Mid senior,Onsite,Las Vegas,NV,United States,"Las Vegas, NV",36.233499,-115.264037,"Customer service, Sales, Fashion, Retail, Merchandising, POS systems, Inventory management, Visual merchandising, Communication, Teamwork, Problemsolving, Adaptability, Flexibility, Goalorientation, Creativity, Interpersonal skills, Learning agility, Perseverance, Ambiguity tolerance, Strategic thinking, Team building, Management, Diversity and inclusion"
Retail Staff (Store 7755),GameStop,2024-01-12,United States,Change Person,Associate,Onsite,Oklahoma City,OK,United States,"Oklahoma City, OK",35.467079,-97.513657,"Customer Service, Sales, Merchandising, Inventory Control, Loss Prevention, Retail Management, Communication, Teamwork, Problem Solving, High School Diploma or GED, 18+ years of age, Retail Sales Experience, Video Game Knowledge, Enthusiastic Personality"
Senior Backend Engineer,Recruiting from Scratch,2024-01-12,United States,Change Person,Mid senior,Onsite,Las Vegas,NV,United States,"Las Vegas, NV",36.233499,-115.264037,"AWS, Rust, CI/CD, SRE, DevOps, Distributed systems, Container infrastructure, System configuration, Internal systems, High growth startup, Good taste, Product mindset, Infrastructure engineering, Fullstack engineers, Stateoftheart distributed database, General Backend engineering, Java, C++, Python"
Medical Support Assistant (Advanced),U.S. Department of Veterans Affairs,2024-01-12,United States,Change Person,Mid senior,Onsite,Las Vegas,NV,United States,"Las Vegas, NV",36.233499,-115.264037,"Access to care, Appointment scheduling, Advanced Clinic Access (ACA), Patient care, Customer service, Microsoft Office Suite, Healthcare administration, Medical terminology, Written and verbal communication, Problemsolving, Teamwork, Attention to detail, Time management, Conflict resolution, Interdisciplinary care, Electronic health records (EHR), Patient portals, Scheduling, Medical policies and procedures, Patient flow, Appointment cycles, Outside patient referrals, Followup care, Overbooking, Provider availability, HIPAA"
RIVER ROCK HOST PERSON,"Golden Entertainment, Inc.",2024-01-12,United States,Change Person,Mid senior,Onsite,Las Vegas,NV,United States,"Las Vegas, NV",36.233499,-115.264037,"Customer service, Communication, Professionalism, Time management, Problemsolving, Teamwork, Attention to detail, English proficiency, Knowledge of company policies and procedures, Physical fitness, Ability to work in a fastpaced environment, Ability to lift and carry objects weighing up to 25 lbs., Ability to work in dimly lit and noisy environments"
Branch Manager II,IAA,2024-01-13,United States,Manager Customer Service,Mid senior,Onsite,Tulsa,OK,United States,"Tulsa, OK",36.127949,-95.902316,"P&L, Budgeting, Operations, Customer relations, Leadership, Development, MS Office Suite, Excel, Word, Outlook, PowerPoint, Interpersonal relationship building, Employee coaching, Confidentiality, Employment laws, Economics, Budgeting, Accounting, Driving license, Travel, Insurance, Automobile, Parts industries, Mechanical knowledge, Vehicles"
Market Sales Leader,Bimbo Bakeries USA,2024-01-12,United States,Circulation-Sales Representative,Mid senior,Onsite,Las Vegas,NV,United States,"Las Vegas, NV",36.233499,-115.264037,"PowerPoint, Excel, Word, Customer relations, Sales, Leadership, Influence, Data analysis, Storelevel growth planning, Revenue growth, Freshness management, Realization tracking, Customer relationship building, Brand growth, Acquisition of new space and displays, DOT Medical card, Bilingual English/Spanish"
Sales Leader - Mobile,Trojan Technologies,2024-01-12,United States,Circulation-Sales Representative,Mid senior,Onsite,Las Vegas,NV,United States,"Las Vegas, NV",36.233499,-115.264037,"Sales, Project Management, Funnel Management, Key Account Management, Travel, College Degree, BS in Engineering, Business or Equivalent Science Degree, Remote Work, Equal Opportunity"
NV Wine Sales Representative - Part Time,VinoPRO,2024-01-12,United States,Circulation-Sales Representative,Mid senior,Onsite,Las Vegas,NV,United States,"Las Vegas, NV",36.233499,-115.264037,"Sales, Communication, Call Center, WFH Phone Sales, Wine Knowledge, CRM Software, Inventory Management Systems, Email and Instant Messaging, Internet Browsing, Keyboard Shortcuts, Proficient in basic computer skills, Troubleshooting, Adaptability to learn new technologies, Microsoft Office, Customer Service, Food and Beverage, Retail"
Financial Aid Counselor - 2 positions available,OSU-OKC,2024-01-12,United States,Change Person,Mid senior,Onsite,Oklahoma City,OK,United States,"Oklahoma City, OK",35.467079,-97.513657,"Financial Aid Processing, Federal Aid Verification, Sound Decision Making, Student Aid Awareness Activities, Financial Aid Systems, Technical Proficiency, Data Management, Attention to Detail, Multitasking, Integrity, Stress Management, Communication Skills, Office Technologies, Microsoft Office, Ellucian Banner Software, Department of Education Software, Public Speaking, Customer Service, Ethical Behavior, Flexible Schedule, Physical Requirements"
"Facilities Electrical Engineer, Energy",Tesla,2024-01-12,United States,Civil Engineer,Mid senior,Onsite,Sparks,NV,United States,"Sparks, NV",39.574341,-119.715154,"Electrical engineering, Electrical design, Electrical systems, Project management, Construction drawings, Engineering specifications, AutoCAD, REVIT MEP, SKM DAPPER & CAPTOR, UL508A inspection criteria, Electrical codes, Commercial electrical, Industrial electrical, Mission critical, Data centers, High tech, R&D, Biotech, Pharmaceutical, Battery manufacturing, Electrical Arc Flash & Coordination studies, Owner’s Project Requirements, Basis of Design, Engineering narratives, Regulatory/code research, Conceptual design, Performance specifications, HazOps reviews, Sequence of operations, Electrical hazard classification, Medium voltage electrical gear, PV/Solar & Battery storage systems"
Production Supervisor [R40047],FactoryFix,2024-01-12,United States,Change Person,Mid senior,Onsite,Yukon,OK,United States,"Yukon, OK",35.518409,-97.766172,"Production Scheduling, Work Procedures, Machine Operations, Forklift Operations, Preventative Maintenance, Production Reporting, Customer Service, Hiring, Performance Management, Employee Discipline, Safety, Quality Control, Work Problem Resolution, Time and Production Records, Capital Equipment Justification, Materials Management, Microsoft Office Suite, Interviewing, Work Planning, Performance Appraisal, Employee Reward and Discipline, Complaint Handling, Problem Resolution, High School Diploma, Bachelor's Degree in Engineering or Business Administration, Leadership, People Management"
RN Telemetry - Per-Diem,Maxim Healthcare Staffing,2024-01-13,United States,Companion,Mid senior,Onsite,Henderson,NV,United States,"Henderson, NV",36.008958,-115.0268,"Nursing, Telemetry, Clinical judgment, Coordination, Patient care, EKG, Vital signs, Patient records, Medication management, Electrocardiogram, Patient education, Lab analysis, Nursing diagnosis, Patient prioritization, Nursing interventions, Patient environment, Plan of care, Safety monitoring, Registered Nurse license, Telemetry experience, Professional standards, Maxim's Competency program, CPR certification, TB screening, Health certificate, Federal state and local requirements, New hire training, Patient confidentiality, HIPAA compliance, Communication skills, English proficiency, Computer proficiency, Age 18+, Health insurance, Dental insurance, Vision insurance, Life insurance, 401(k) plan, Awards and recognition"
Provider Network Support Specialist II,Jobs for Humanity,2024-01-12,United States,Change Person,Mid senior,Onsite,Oklahoma City,OK,United States,"Oklahoma City, OK",35.467079,-97.513657,"Claims Processing, Billing, Coding, Managed Care, Medical Provider Offices, Customer Service, ProblemSolving, Communication, Organization, Time Management, Priority Setting, Microsoft Excel, Outlook, Word, Research, Data Entry, Auditing, Training, Education, Healthcare, Medicare, Medicaid, Provider Data"
Compliance Analyst,Jobs for Humanity,2024-01-12,United States,Change Person,Mid senior,Onsite,Oklahoma City,OK,United States,"Oklahoma City, OK",35.467079,-97.513657,"Compliance, Legislative, Regulatory, Auditing, Monitoring, HIPAA, Policies, Procedures, Workflows, SQL, Python, Java, Data Analytics, Data Mining, Data Visualization, Machine Learning, Artificial Intelligence, Bachelor's degree, Master's degree, Juris Doctorate degree, 1+ years of experience in compliance privacy and/or regulatory affairs, Working knowledge of laws and/or regulations in area of compliance"
Transmission Line Engineer,Arcadis,2024-01-12,United States,Civil Engineer,Mid senior,Onsite,Reno,NV,United States,"Reno, NV",39.549097,-119.849907,"Transmission Line Engineering, High Voltage (HV), Extra High Voltage (EHV), PLSCADD, PLSPOLE, PLS TOWER, NESC, NEC, ASCE, Civil Engineering, Electrical Engineering, Project Management, Utility Scale Transmission Overhead Line Design, Engineering, Studies, QA, Material, Plan and Profiles, Construction Packages, Bidding Documents, Specifications, Bills of Materials, Shop Drawing Review, Procurement, Construction Documents, Project Planning, Environmental, Permitting, Construction Management, Mentoring, Cross Selling, Cross Staffing, PE License"
Resource Specialist I,Jobs for Humanity,2024-01-12,United States,Change Person,Mid senior,Onsite,Oklahoma City,OK,United States,"Oklahoma City, OK",35.467079,-97.513657,"Service Coordination, Care Management, Service Planning, Member Assessment, Caregiver Assessment, Provider Assessment, Resource Provision, Service Referral, Service Delivery Monitoring, Interdisciplinary Care Team Participation, Health Plan Resource Creation, Health Plan Performance Tracking, Community Outreach, Technical Expertise, Training, Bachelor's Degree, Experience in Employment, Experience in Housing, Experience in Participant Direction, Experience in Transitions, Experience in LongTerm Services and Supports (LTSS), Experience with Chronic or Complex Conditions, Valid State Driver's License, Flexibility, Remote Work, Hybrid Schedules, Competitive Pay, Paid Time Off, Health Insurance, 401(k), Stock Purchase Plans, Tuition Reimbursement, Training, Development Opportunities"
Sales Associate - Oklahoma City,UNTUCKit,2024-01-12,United States,Circulation-Sales Representative,Associate,Onsite,Oklahoma City,OK,United States,"Oklahoma City, OK",35.467079,-97.513657,"Customer Service, Sales, Retail, UNTUCKit, Apple, Omnichannel POS, Communication, Interpersonal skills, High school degree, BA/BS degree, Flexible schedule, Dependable attendance, Punctuality, Retail hours, Training, Development, Casual working environment, Wellness Resources, Monthly incentives, Paid Time Off, Life Insurance, Family Leave, Short Term Disability, Long Term Disability"
"RN-Home Health Travel Nursing Opportunity Available in Reno, NV",RNnetwork,2024-01-12,United States,Christian Science Nurse,Mid senior,Onsite,Reno,NV,United States,"Reno, NV",39.549097,-119.849907,"Registered Nurse, Home Health, Varied Shift, Travel Nursing, Pay and Insurance, Travel Reimbursement, Licensing Reimbursement, Certification Reimbursement"
Senior Electrical Engineer,CyberCoders,2024-01-13,United States,Commercial Engineer,Mid senior,Onsite,Las Vegas,NV,United States,"Las Vegas, NV",36.233499,-115.264037,"Electrical Engineering, Revit, AutoCAD, SKM, EZPower, COMCheck EZ, MS Project, Excel, Primavera, Secret Clearance, USACE projects, Electrical Theories, Electrical Concepts, Arc Flash Hazard, RFI, Change Order Processes, Written Communication, Verbal Communication, Deadline Management, Bachelor's Degree in Electrical Engineering, Active PE License, Experience in Low/Medium Voltage Design, Experience in Low/Medium Voltage Construction, Understanding of Electrical Theories, Understanding of Electrical Concepts, Proficiency with Relevant Electrical Design Software, Proficiency with MS Project, Proficiency with Excel, Proficiency with Primavera"
Food Services Supervisor,Youth Enrichment Services,2024-01-13,United States,Food-Service Driver,Mid senior,Onsite,Tulsa,OK,United States,"Tulsa, OK",36.127949,-95.902316,"Food preparation techniques, Food handling procedures, Kitchen equipment, Appliances, Fastpaced environment, Leadership skills, Management skills, Organization skills, Interpersonal skills, Communication skills, Food service experience, Supervisory experience, Bachelor's Degree in Hotel Restaurant Institutional Management Culinary, State Driver's License"
"Nurse Practitioner - Rogers County, Oklahoma",Advantmed,2024-01-12,United States,Christian Science Nurse,Mid senior,Onsite,Claremore,OK,United States,"Claremore, OK",36.315093,-95.609451,"Nurse Practitioner, Risk adjustment, Quality improvement, Valuebased solutions, Medicare population, Annual wellness visits, Health assessments, Chronic conditions, Patient health education, Quality care gaps, EMR skills, Bilingual, Flexible work schedule, Paid mileage"
Foot and Nail Care Registered Nurse,Reno Orthopedic Center,2024-01-12,United States,Christian Science Nurse,Mid senior,Onsite,Reno,NV,United States,"Reno, NV",39.549097,-119.849907,"Foot care, Nail care, Patient assessment, Patient education, Preventative foot care, Fungal toenail treatment, Corn and callus removal, Electronic medical record documentation, Patient risk identification, Collaborative healthcare, Attendance and punctuality, High School Diploma/GED, Nevada Nursing License, One year of RN experience, CFCN or CFCS certification, Moderate noise level, Exposure to communicable diseases, Biohazard exposure, Toxic substance exposure, Frequent movement"
Senior Sales Associate,La-Z-Boy Incorporated,2024-01-12,United States,Circulation-Sales Representative,Mid senior,Onsite,Henderson,NV,United States,"Henderson, NV",36.008958,-115.0268,"Sales, Customer service, Communication, Active listening, Patience, Ability to handle rejection, Selfdiscipline, Time management, Professional dress and appearance, Availability on Saturdays and most holidays"
Cocktail Server Part Time - Sand Springs,Osage Casino,2024-01-13,United States,Food-Service Driver,Mid senior,Onsite,Sand Springs,OK,United States,"Sand Springs, OK",36.136482,-96.13197,"Communication, Department Operations, Guest Service, Regulatory Compliance, Microsoft Office, Ability to lift objects up to 20 pounds, Ability to drag push or pull objects up to 50 pounds, Ability to sit stoop kneel crouch and crawl, Ability to use hands to finger handle or feel, Ability to use arms to reach and lift above shoulders, Normal auditory and good verbal communication, Ability to engage in repetitive motion using wrists fingers and hands, Working in a Casino, Using personal computer systems, Exposure to secondhand smoke, Evening and weekend shifts, Extended hours and irregular shifts, Moderate to high noise level, Exposure to chemicals, Risks associated with working in industrial kitchen (heat burn spills), Risks associated with resolving issues with extremely irate guests"
Lead Sales Associate,Petco,2024-01-13,United States,Companion,Mid senior,Onsite,Las Vegas,NV,United States,"Las Vegas, NV",36.233499,-115.264037,"Animal care, Animal welfare, Cash handling, Communication, Customer service, Ethics, Grooming, Nutrition, Photography, Pointofsale systems, Product knowledge, Retail, Sales, Teamwork, High school diploma or GED, 2+ years of experience in animal nutrition care/wellness/treatment, 1+ year of retail experience, Basic computer skills, Proficient in PetNet and Polaris systems, Certified in Companion Animal Departments, Nutrition certified, PIJAC certified (California only), Knowledge of grooming salon program certification, Familiarity with dog training class offerings and PCC’s dog training schedule, Familiarity with PCC’s photography and vaccination schedule"
Commercial Line Account Manager,Infrahire,2024-01-13,United States,Commercial Engineer,Mid senior,Onsite,Oklahoma City,OK,United States,"Oklahoma City, OK",35.467079,-97.513657,"Insurance, Customer Service, Communication, Time Management, Teamwork, Problem Solving, Client Relations, Attention to Detail, Sales, CrossSelling, Underwriting, Data Entry, Record Keeping, Policy Renewals, Claims Processing, Market Strategy Development, Retention and Growth, Client Visits, Proposal Writing"
Food & Beverage Supervisor - Hyatt Place Tulsa Downtown,Searchlight Pictures,2024-01-13,United States,Food-Service Driver,Mid senior,Onsite,Tulsa,OK,United States,"Tulsa, OK",36.127949,-95.902316,"Food & Beverage Management, Restaurant Operations, Inventory Management, Customer Service, Team Supervision, Training and Development, Shift Coverage, Performance Evaluation, Health Safety and Sanitation, Product Quality Management, Menu and Pricing, Sales Support, High School Diploma or Equivalent, Food Handling Certificate, Food & Beverage Service Experience, Oral and Written Communication, Flexible Work Schedule, Ability to Work Evenings Weekends and Holidays, Ability to Follow Directions, Understanding of Potential Hazards, SelfSupervision and Time Management, Valid Driver's License, English Fluency, Standing, Walking, Sitting, Lifting and Moving up to 20 Pounds, Pushing and Pulling up to 50 Pounds"
"Clinical Specialist I, CPT - Reno, NV",Abbott,2024-01-13,United States,Manager Sales,Associate,Onsite,Reno,NV,United States,"Reno, NV",39.549097,-119.849907,"Spinal cord stimulation (SCS), Deep brain stimulation, Medical devices, Sales, Marketing, Customer service, Clinical expertise, Technical support, Troubleshooting, Education, Training, Patient care, Communication, Teamwork, Problemsolving, Time management, Organizational skills, Prioritization, Multitasking, Deadlines, Team player, Independent worker, Travel, Flexibility, Attention to detail, Accuracy, Strong work ethic"
Retail Staff (Store 3430),GameStop,2024-01-12,United States,Change Person,Associate,Onsite,Tulsa,OK,United States,"Tulsa, OK",36.127949,-95.902316,"GameStop services, Customer service, Retail sales, Management, Product selection, Purchases, Returns, Merchandising, Inventory control, Loss prevention, Restocking, Store cleaning, Maintenance, High School diploma or GED, College degree (preferred), 18+ years of age, Retail sales experience, Customer service experience, Management experience, Video game knowledge, Enthusiastic personality, Friendly and open attitude, Ability to provide incredible customer experience, Ability to work in a team environment, Ability to follow policies procedures and controls"
Pilot,"Zeeco, Inc.",2024-01-12,United States,Charter,Mid senior,Onsite,Broken Arrow,OK,United States,"Broken Arrow, OK",36.036529,-95.780996,"Citation CE560XL type rating, 4000 hours minimum flight time, 3000 hours in turbojet aircraft, Airline Transport Pilot (ATP), FAA Class 1 Medical, Valid passport, No history of aviation related accidents, No traffic related DUI enforcement actions, Must pass all preemployment background checks and screenings, Strong skills and knowledge of Business Aviation Environment, Ability to work safely in a team environment, Initiative to complete collateral duties supporting the flight department, Ability to effectively communicate with all team members and support personnel, Ability to thrive in a busy and dynamic work environment"
Locum | Physician Ophthalmology,CompHealth,2024-01-13,United States,Gynecologist,Mid senior,Onsite,Henderson,NV,United States,"Henderson, NV",36.008958,-115.0268,"CompHealth, BLS, Medical retina, Ultrasound interpretation, Photo interpretation, OCT, Fluorescein angiography interpretation, DEA, Credentialing, Privileging, Online portal, Time entry"
Physician,Chenega Corporation EH&F,2024-01-13,United States,Dermatologist,Mid senior,Onsite,Oklahoma City,OK,United States,"Oklahoma City, OK",35.467079,-97.513657,"Medical histories, Physical examinations, Consultation reviews, Applicant medical documentation assessment, American Heart Association Basic Life Support (BLS) Training Certification, Liaison Committee on Medical Education (LCME) accredited medical school, Accreditation Council for Graduate Medical Education (ACGME) or American Osteopathic Association (AOA) accredited residency, Computer skills, Electronic applicant medical documentation access and update, Email communications access and response, Internet site usage for medical information and personnel access into the Armed Forces, Sitting and talking or hearing, Walking, Using hands to finger handle or feel, Reaching with hands and arms, Standing, Climbing or balancing, Stooping kneeling crouching or crawling, Lifting and/or moving up to 25 pounds, Close vision"
Bell Captain- Circus Circus- Full Time- Variable (Reno),"Caesars Entertainment, Inc.",2024-01-12,United States,Charter,Mid senior,Onsite,Reno,NV,United States,"Reno, NV",39.549097,-119.849907,"Concierge services, Luggage placement, Ice service, Laundry services, Room orientation, Transportation assistance, Vehicle driving, Phone communication, Confidentiality, Customer service, Teamwork, English language, Safe driving, Physical stamina, Lifting and carrying, Vision and coordination, Temperature range"
Construction Manager,"PM2CM, Inc.",2024-01-12,United States,Bridge Inspector,Mid senior,Onsite,Reno,NV,United States,"Reno, NV",39.549097,-119.849907,"Project Management, Construction Management, Project Controls, Scheduling, Cost Controls, Document Management, Budget Tracking, Estimating, Risk Analysis, Claims Avoidance, Mitigation, Change Management, Earned Value Management, Google Earth, EHSync, Transmission Engineering, Environmental, GIS, TLRR Program Plan, GCC, QA/QC, USFWS, USACE, USFS, BLM, BIA, CDFW, RWQCB, Microsoft Office"
Adjunct Faculty - Philosophy,Tulsa Community College,2024-01-13,United States,Faculty Member College Or University,Mid senior,Onsite,Tulsa,OK,United States,"Tulsa, OK",36.127949,-95.902316,"Adjunct Instructor, Teaching, Curriculum Development, Professional Development, Compliance Training, Syllabus Creation, Record Keeping, FERPA Compliance, Assessment Participation, Contribution to College Development, Master's Degree, Graduate Hours, Bachelor's Degree, Licensure/ Certification, Work Experience"
Construction Manager - Sr.,Williams,2024-01-12,United States,Bridge Inspector,Mid senior,Onsite,Tulsa,OK,United States,"Tulsa, OK",36.127949,-95.902316,"Construction Management, Project Planning, Coordination, Execution, Natural Gas Pipeline, Safety, QA/QC, Cost/Schedule Management, Liaison, Contracting Strategy, Contractor Qualification/Selection, Schedule Reviews, Execution Plans, Extra Work Claims, Construction Progress Reporting, Construction Closeout, Inspection Processes, Documentation Requirements, Issue Anticipation, Claim Addressing, Inspection Team Leadership, High School Diploma/GED, 8+ Years Related Experience, 5+ Years Large Projects Experience, CCM (CMAA) Certification, Bachelor's in Construction Science or Management (Preferred), Work in Extreme Temperatures, Work with Loud Noises, Work in Enclosed Spaces, Carry/Lift 50 lbs, Stand/Walk/Climb/Bend/Stoop/Squat for Long Periods, Work at Elevated Levels, Use Hand Tools, Valid State Driver's License, Clean Driving Record, Excellent Organizational/Interpersonal Skills, Safety Prioritization, Proficiency in Microsoft Office Applications, PC Skills"
Pre-Construction Manager - Ground Up - Commercial Construction,CyberCoders,2024-01-12,United States,Bridge Inspector,Mid senior,Onsite,Reno,NV,United States,"Reno, NV",39.549097,-119.849907,"PreConstruction Management, Construction Documents, Budget Development, Turnover to Operations, Conceptual Budgets, Constructability, Value Engineering Studies, Bid Packages, Bid Validation, Subcontractor Outreach, Business Development, Training, Engineering or Construction Degree, Building Construction, Materials, Systems, Trade Practices, Project Plans, Specifications, Proposals, Projects, Microsoft Office Suite, Proficient in Excel, Proficient in Word, Attention to Detail, Communication Skills, Work Ethic, Bachelor's Degree"
Senior Civil Engineer - Land Development,Olsson,2024-01-12,United States,Bridge Inspector,Mid senior,Onsite,Tulsa,OK,United States,"Tulsa, OK",36.127949,-95.902316,"Civil Engineering, Construction Design, Project Management, QA/QC Planning, Technical Design Mentoring and Training, Resource Management, Supervision of Professionals and Technical Staff, Contract Review, Quality Control, Site Layout, Grading, Utility Design, Erosion Control, Regulatory Approvals, Civil 3D, Client Relationship Building, Complex Project Leadership, Communication Skills, Teamwork, Bachelor's Degree in Civil Engineering, 8+ Years of Civil Engineering Experience, Professional Registration with 4+ Years of Technical Personnel Supervision, Site Layout, Grading, Utility Design, Erosion Control, Regulatory Approvals"
Civil Engineer,Stantec,2024-01-12,United States,Bridge Inspector,Mid senior,Onsite,Reno,NV,United States,"Reno, NV",39.549097,-119.849907,"Autodesk, Microsoft Office Suite, Bently CAD, AutoCAD Civil 3D, Bentley MicroStation, Civil engineering, Engineering design, Construction documents, Environmental engineering, Recreation projects, Stormwater/drainage improvements, Ecosystem restoration, Transportation, Proficient in written and verbal communication, Attention to detail, Ability to work in a fastpaced environment, Bachelor's degree in Engineering with an emphasis in Civil or Environmental Engineering, Minimum of five years of related work experience in civil engineering design, Professional Engineer (PE) license in State of California or Nevada required or ability to obtain within two years of start, Ability to creatively apply technical knowledge"
Senior Project Engineer,Lumos & Associates,2024-01-12,United States,Bridge Inspector,Mid senior,Onsite,Reno,NV,United States,"Reno, NV",39.549097,-119.849907,"Senior Project Engineer, AutoCAD, Civil 3D, Microsoft Office (Word/Excel/Outlook), Civil or Environmental Engineering, Project Management, Leadership, Client Coordination, Proposal and Scoping, Technical Expertise, Engineering Drawings, Field Visits, Site Analysis, Infrastructure Design, Civil Design, Construction Assistance, Permit Applications, Cost Estimates, Budgeting, Proposal Development, P.E. License, California P.L.S. License, 4 years AutoCAD/Civil 3D, 5 years related engineering experience, Valid drivers license with 3 or less demerit points, Bachelor's in Civil or Environmental Engineering, Ability to work within required time frames, Computer proficiency, Communication, Team Collaboration, Attention to Detail, Problem Solving"
Senior Tailings Storage Facility Engineer (Civil/Geotechincal),AECOM,2024-01-12,United States,Bridge Inspector,Mid senior,Onsite,Reno,NV,United States,"Reno, NV",39.549097,-119.849907,"Civil Engineering, Geotechnical Engineering, Project Management, Tailings Storage Facility Design, Heavy Civil Infrastructure Design, PSHA Analysis, Material Characterization, Liquefaction, Seepage, Slope Stability, Settlement Analyses, Construction Monitoring, Operations, Engineering Reports, Drawings, Specifications, Standard Geotechnical Software, Hydrological Software, Project Leadership, Design, Investigation, Analysis, Construction, Operation, Risk Assessment"
Licensed Engineer - Electrical Design,Olsson,2024-01-12,United States,Civil Engineer,Associate,Onsite,Oklahoma City,OK,United States,"Oklahoma City, OK",35.467079,-97.513657,"AutoCAD, Revit, RSMeans, Electrical engineering, Power distribution, Lighting, Arc flash studies, Electrical modeling, International Building Codes, Consulting industry, Communication skills, Teamwork, Attention to detail, Innovative solutions, Bachelor's degree"
Highway/Roadway Engineer*,HDR,2024-01-12,United States,Bridge Inspector,Mid senior,Onsite,Reno,NV,United States,"Reno, NV",39.549097,-119.849907,"Civil Engineering, Highway Engineering, Intersection Design, Construction Phasing, Maintenance of Traffic, Site Planning, Concept Alignments, Geometric Layout, Roadway Modeling, Interchange Design, Survey Coordination, Grading, Drainage, Utilities, Layout of Site Items, Site Feasibility Analysis, Final Design, Construction Phase Oversight, Project Management, Client Interaction, ModelBased Digital Delivery, Marketing, Presentation Preparation, Technical Proposals, DOT Experience, Local Government Experience, Bentley (Microstation Open Roads), Autodesk (Autocad Civil3D), Microsoft Office, P.E. License, Communication Skills, Organizational Skills, Employee Ownership, Teamwork, Collaboration, Thoughtfulness, Growth, Learning, Discipline Expertise, Personal Accountability, Medical Plan, Paid Time Off, Tuition Assistance, 401(k), Employee Stock Ownership Plans"
Stress Engineer,Expleo Group,2024-01-12,United States,Central-Office Equipment Engineer,Associate,Onsite,Tulsa,OK,United States,"Tulsa, OK",36.127949,-95.902316,"Stress Engineering, Static Analysis, Fatigue Damage Tolerance (F&DT), Finite Element Modeling (FEM), Helicopter Stress Analysis, Aircraft Metallic, Composite Fuselage, Classical Hand Analysis, Nastran, Patran, Abaqus, Classical Hand Calculations/Analysis, Engineering Mechanics, Strength of Materials, Microsoft Excel, Microsoft Word, Microsoft PowerPoint, Microsoft Project, Aerospace Engineering, Composite Structure, Metallic Structure, Static Analysis (FE and free body), Fatigue Analysis, Transient Analysis, Vendor Drawings, Stress Reports, Test Reports, Design Reviews, Progress Reports, Degree Required, Minimum 6 years experience in Aerospace Stress Engineering, Prior experience using analysis methods/tools"
Senior Financial Accountant,Caesars Sportsbook & Casino,2024-01-12,United States,Budget Analyst,Mid senior,Onsite,Las Vegas,NV,United States,"Las Vegas, NV",36.233499,-115.264037,"Accounting, Journal entries, Balance sheet reconciliations, SOX, Oracle, MS Excel, Macros, Office work, Typing, Data analysis, Variance identification and investigation, Team collaboration, Leadership coaching, Compliance, Attention to detail, Accuracy, Initiative, Gaming accounting experience, Degree in Accounting, Sports betting knowledge"
